Date,Location,Latitude,Longitude,Pathogen,Concentration_copies_per_mL,Population_Served,Outbreak_Period
2023-01-01,Central WWTP,24.71,46.67,SARS-CoV-2,2637.5,500000,False
2023-01-01,Central WWTP,24.71,46.67,Influenza A,1638.62,500000,False
2023-01-01,Central WWTP,24.71,46.67,Influenza B,1970.42,500000,False
2023-01-01,Central WWTP,24.71,46.67,Norovirus,1541.55,500000,False
2023-01-01,Central WWTP,24.71,46.67,Rotavirus,1098.08,500000,False
2023-01-02,Central WWTP,24.71,46.67,SARS-CoV-2,2558.23,500000,False
2023-01-02,Central WWTP,24.71,46.67,Influenza A,1829.48,500000,False
2023-01-02,Central WWTP,24.71,46.67,Influenza B,2011.91,500000,False
2023-01-02,Central WWTP,24.71,46.67,Norovirus,1560.43,500000,False
2023-01-02,Central WWTP,24.71,46.67,Rotavirus,1186.49,500000,False
2023-01-03,Central WWTP,24.71,46.67,SARS-CoV-2,2160.89,500000,False
2023-01-03,Central WWTP,24.71,46.67,Influenza A,1830.68,500000,False
2023-01-03,Central WWTP,24.71,46.67,Influenza B,1987.63,500000,False
2023-01-03,Central WWTP,24.71,46.67,Norovirus,1590.86,500000,False
2023-01-03,Central WWTP,24.71,46.67,Rotavirus,1286.15,500000,False
2023-01-04,Central WWTP,24.71,46.67,SARS-CoV-2,2452.02,500000,False
2023-01-04,Central WWTP,24.71,46.67,Influenza A,2211.79,500000,False
2023-01-04,Central WWTP,24.71,46.67,Influenza B,2027.34,500000,False
2023-01-04,Central WWTP,24.71,46.67,Norovirus,1467.59,500000,False
2023-01-04,Central WWTP,24.71,46.67,Rotavirus,1334.73,500000,False
2023-01-05,Central WWTP,24.71,46.67,SARS-CoV-2,2416.57,500000,False
2023-01-05,Central WWTP,24.71,46.67,Influenza A,1952.36,500000,False
2023-01-05,Central WWTP,24.71,46.67,Influenza B,1443.72,500000,True
2023-01-05,Central WWTP,24.71,46.67,Norovirus,1075.02,500000,True
2023-01-05,Central WWTP,24.71,46.67,Rotavirus,1215.9,500000,False
2023-01-06,Central WWTP,24.71,46.67,SARS-CoV-2,2204.41,500000,False
2023-01-06,Central WWTP,24.71,46.67,Influenza A,1881.02,500000,False
2023-01-06,Central WWTP,24.71,46.67,Influenza B,1691.1,500000,True
2023-01-06,Central WWTP,24.71,46.67,Norovirus,1253.9,500000,True
2023-01-06,Central WWTP,24.71,46.67,Rotavirus,1320.84,500000,False
2023-01-07,Central WWTP,24.71,46.67,SARS-CoV-2,2392.69,500000,False
2023-01-07,Central WWTP,24.71,46.67,Influenza A,2180.42,500000,False
