Date,Medication,Units_Sold
2023-01-01,Tamiflu,90
2023-01-02,Tamiflu,101
2023-01-03,Tamiflu,105
2023-01-04,Tamiflu,92
2023-01-05,Tamiflu,84
2023-01-06,Tamiflu,86
2023-01-07,Tamiflu,78
2023-01-08,Tamiflu,91
2023-01-09,Tamiflu,114
2023-01-10,Tamiflu,120
2023-01-11,Tamiflu,111
2023-01-12,Tamiflu,98
2023-01-13,Tamiflu,107
2023-01-14,Tamiflu,119
2023-01-15,Tamiflu,155
2023-01-16,Tamiflu,159
2023-01-17,Tamiflu,150
2023-01-18,Tamiflu,126
2023-01-19,Tamiflu,91
2023-01-20,Tamiflu,82
2023-01-21,Tamiflu,81
2023-01-22,Tamiflu,97
2023-01-23,Tamiflu,134
2023-01-24,Tamiflu,124
2023-01-25,Tamiflu,114
2023-01-26,Tamiflu,99
2023-01-27,Tamiflu,82
2023-01-28,Tamiflu,90
2023-01-29,Tamiflu,120
2023-01-30,Tamiflu,131
2023-01-31,Tamiflu,139
2023-02-01,Tamiflu,131
2023-02-02,Tamiflu,105
2023-02-03,Tamiflu,91
2023-02-04,Tamiflu,90
2023-02-05,Tamiflu,114
2023-02-06,Tamiflu,135
2023-02-07,Tamiflu,137
2023-02-08,Tamiflu,137
2023-02-09,Tamiflu,115
2023-02-10,Tamiflu,102
2023-02-11,Tamiflu,102
2023-02-12,Tamiflu,117
2023-02-13,Tamiflu,149
2023-02-14,Tamiflu,149
2023-02-15,Tamiflu,139
2023-02-16,Tamiflu,117
2023-02-17,Tamiflu,103
2023-02-18,Tamiflu,117
2023-02-19,Tamiflu,124
2023-02-20,Tamiflu,146
2023-02-21,Tamiflu,162
2023-02-22,Tamiflu,141
2023-02-23,Tamiflu,118
2023-02-24,Tamiflu,104
2023-02-25,Tamiflu,114
2023-02-26,Tamiflu,131
2023-02-27,Tamiflu,152
2023-02-28,Tamiflu,163
2023-03-01,Tamiflu,146
2023-03-02,Tamiflu,118
2023-03-03,Tamiflu,109
2023-03-04,Tamiflu,121
2023-03-05,Tamiflu,140
2023-03-06,Tamiflu,166
2023-03-07,Tamiflu,161
2023-03-08,Tamiflu,155
2023-03-09,Tamiflu,123
2023-03-10,Tamiflu,106
2023-03-11,Tamiflu,114
2023-03-12,Tamiflu,141
2023-03-13,Tamiflu,168
2023-03-14,Tamiflu,170
2023-03-15,Tamiflu,153
2023-03-16,Tamiflu,124
2023-03-17,Tamiflu,118
2023-03-18,Tamiflu,125
2023-03-19,Tamiflu,145
2023-03-20,Tamiflu,161
2023-03-21,Tamiflu,176
2023-03-22,Tamiflu,163
2023-03-23,Tamiflu,140
2023-03-24,Tamiflu,115
2023-03-25,Tamiflu,125
2023-03-26,Tamiflu,143
2023-03-27,Tamiflu,165
2023-03-28,Tamiflu,183
2023-03-29,Tamiflu,162
2023-03-30,Tamiflu,141
2023-03-31,Tamiflu,112
2023-04-01,Tamiflu,126
2023-04-02,Tamiflu,150
2023-04-03,Tamiflu,167
2023-04-04,Tamiflu,185
2023-04-05,Tamiflu,162
2023-04-06,Tamiflu,145
2023-04-07,Tamiflu,133
2023-04-08,Tamiflu,153
2023-04-09,Tamiflu,220
2023-04-10,Tamiflu,262
2023-04-11,Tamiflu,258
2023-04-12,Tamiflu,206
2023-04-13,Tamiflu,157
2023-04-14,Tamiflu,133
2023-04-15,Tamiflu,124
2023-04-16,Tamiflu,153
2023-04-17,Tamiflu,174
2023-04-18,Tamiflu,178
2023-04-19,Tamiflu,154
2023-04-20,Tamiflu,136
2023-04-21,Tamiflu,124
2023-04-22,Tamiflu,128
2023-04-23,Tamiflu,142
2023-04-24,Tamiflu,179
2023-04-25,Tamiflu,186
2023-04-26,Tamiflu,161
2023-04-27,Tamiflu,147
2023-04-28,Tamiflu,115
2023-04-29,Tamiflu,119
2023-04-30,Tamiflu,143
2023-05-01,Tamiflu,173
2023-05-02,Tamiflu,168
2023-05-03,Tamiflu,159
2023-05-04,Tamiflu,149
2023-05-05,Tamiflu,111
2023-05-06,Tamiflu,121
2023-05-07,Tamiflu,141
2023-05-08,Tamiflu,168
2023-05-09,Tamiflu,173
2023-05-10,Tamiflu,155
2023-05-11,Tamiflu,132
2023-05-12,Tamiflu,120
2023-05-13,Tamiflu,129
2023-05-14,Tamiflu,143
2023-05-15,Tamiflu,167
2023-05-16,Tamiflu,174
2023-05-17,Tamiflu,149
2023-05-18,Tamiflu,129
2023-05-19,Tamiflu,112
2023-05-20,Tamiflu,124
2023-05-21,Tamiflu,150
2023-05-22,Tamiflu,159
2023-05-23,Tamiflu,174
2023-05-24,Tamiflu,145
2023-05-25,Tamiflu,128
2023-05-26,Tamiflu,113
2023-05-27,Tamiflu,109
2023-05-28,Tamiflu,134
2023-05-29,Tamiflu,154
2023-05-30,Tamiflu,157
2023-05-31,Tamiflu,134
2023-06-01,Tamiflu,123
2023-06-02,Tamiflu,108
2023-06-03,Tamiflu,113
2023-06-04,Tamiflu,137
2023-06-05,Tamiflu,144
2023-06-06,Tamiflu,156
2023-06-07,Tamiflu,156
2023-06-08,Tamiflu,124
2023-06-09,Tamiflu,109
2023-06-10,Tamiflu,104
2023-06-11,Tamiflu,128
2023-06-12,Tamiflu,137
2023-06-13,Tamiflu,155
2023-06-14,Tamiflu,145
2023-06-15,Tamiflu,108
2023-06-16,Tamiflu,95
2023-06-17,Tamiflu,105
2023-06-18,Tamiflu,125
2023-06-19,Tamiflu,140
2023-06-20,Tamiflu,142
2023-06-21,Tamiflu,128
2023-06-22,Tamiflu,110
